company,ticker,event,day0,event_type,source_type,included,exclusion_reason,leakage_mean,react_mean,drift_mean,react_peer,drift_peer,raw_day0_return,leakage_days,reaction_days,drift_days,drift_full
Zhipu,02513.HK,GLM-5,2026-02-11,capability,official model release,True,,22.33,22.48,24.72,17.19,13.27,-1.7,5.0,2.0,9.0,True
Zhipu,02513.HK,GLM-5-Turbo,2026-03-16,capability,official model release,True,,-21.53,7.7,-19.32,14.61,19.2,14.15,5.0,2.0,9.0,True
Zhipu,02513.HK,GLM-5.1,2026-04-08,capability,official model release,True,,7.38,13.83,-14.21,13.4,12.88,11.49,5.0,2.0,9.0,True
Zhipu,02513.HK,GLM-5.2,2026-06-15,capability,official model release,True,,-23.24,30.83,28.16,28.66,36.75,32.82,5.0,2.0,9.0,True
MiniMax,00100.HK,M2.7,2026-03-18,capability_peer,official model release,True,,-44.71,-5.52,-49.08,-2.27,-37.71,19.85,5.0,2.0,9.0,True
Zhipu,02513.HK,HSTECH expectation,2026-02-20,flow,index/flow catalyst,True,,57.56,16.11,-20.8,18.79,-2.0,42.72,5.0,2.0,9.0,True
Zhipu,02513.HK,Stock Connect expectation,2026-05-13,flow,index/flow catalyst,True,,-8.2,31.81,45.4,9.31,43.85,36.9,5.0,2.0,9.0,True
Zhipu,02513.HK,HSTECH inclusion,2026-06-05,flow,index/flow catalyst,True,,-34.46,-16.68,30.95,17.06,47.28,-9.05,5.0,2.0,9.0,True
Zhipu,02513.HK,Stock Connect inclusion,2026-06-08,flow,index/flow catalyst,True,,-39.94,-20.32,38.4,4.48,58.75,1.31,5.0,2.0,9.0,True
Zhipu,02513.HK,IPO listing,2026-01-08,listing,HKEX listing,False,no pre-event estimation window,,,,,,,,,,
MiniMax,00100.HK,IPO listing,2026-01-09,listing,HKEX listing,False,no pre-event estimation window,,,,,,,,,,
Wenge AI,01956.HK,IPO listing,2026-06-26,listing,HKEX listing,False,insufficient post-listing history for event window,,,,,,,,,,
Wenge AI,01956.HK,Decitron/Yayi releases,,candidate_capability,candidate model release,False,candidate only; no event date and post-event price window in local data,,,,,,,,,,
Moonshot/Kimi,unlisted,Kimi model release,,candidate_capability,candidate model release,False,candidate only; no listed equity price series,,,,,,,,,,
